trigger,match_type,promote_url,previous_promote_url,source,target_current_rank,current_top_result,priority,promotion_needed,disambiguated,url_level_original,rule_applied,change_note
deaf studies educational interpreting,exact,https://www.arizona.edu/degree-search/majors/deaf-studies-educational-interpreting-emphasis,https://www.arizona.edu/degree-search/majors/deaf-studies-educational-interpreting-emphasis,metadata,1,https://www.arizona.edu/degree-search/majors/deaf-studies-educational-interpreting-emphasis,P0 already #1,no (already #1),,EMPHASIS,Rule 2 — specific entity (kept),
degree example math,exact,https://www.arizona.edu/degree-search/majors/mathematics-comprehensive-emphasis-ba,https://www.arizona.edu/degree-search/majors/mathematics-comprehensive-emphasis-ba,ahrefs,absent,https://www.arizona.edu/degree-search,P1 all results off-topic,yes,,EMPHASIS,Rule 2 — specific entity (kept),
degree in applied mathematics,exact,https://www.arizona.edu/degree-search/majors/mathematics-applied-emphasis-bs,https://www.arizona.edu/degree-search/majors/mathematics-applied-emphasis-bs,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
degree in classical studies,exact,https://www.arizona.edu/degree-search/majors/classics-classical-civilization-emphasis,https://www.arizona.edu/degree-search/majors/classics-classical-civilization-emphasis,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
degree in english,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/english-ba,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/english-ba
degree in english language,exact,https://www.arizona.edu/degree-search/majors/english-ba,https://www.arizona.edu/degree-search/majors/english-ba,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,UG,Rule 2 — specific entity (kept),
degree in human development and family studies,exact,https://www.arizona.edu/degree-search/majors/human-development-and-family-science-bs,https://www.arizona.edu/degree-search/majors/human-development-and-family-science-bs,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,UG,Rule 2 — specific entity (kept),
degree in italian,exact,https://www.arizona.edu/degree-search/majors/italian-language-and-literature-emphasis,https://www.arizona.edu/degree-search/majors/italian-language-and-literature-emphasis,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
degree in neurobiology,exact,https://www.arizona.edu/degree-search/majors/neuroscience-and-cognitive-science-neurobiology-emphasis,https://www.arizona.edu/degree-search/majors/neuroscience-and-cognitive-science-neurobiology-emphasis,ahrefs,absent,https://www.arizona.edu/degree-search,P1 all results off-topic,yes,,EMPHASIS,Rule 2 — specific entity (kept),
degree pharmaceutical science,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/pharmaceutical-sciences-bs,ahrefs,7,https://www.arizona.edu/degree-search,"P2 target present, buried",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/pharmaceutical-sciences-bs
degree search,exact,https://www.arizona.edu/degree-search/,https://www.arizona.edu/degree-search/,metadata,1,https://www.arizona.edu/degree-search,P0 already #1,no (already #1),,NAV,Unchanged — navigational/non-major,
degrees in conservation,exact,https://www.arizona.edu/degree-search/majors/natural-resources-wildlife-conservation-and-management-emphasis,https://www.arizona.edu/degree-search/majors/natural-resources-wildlife-conservation-and-management-emphasis,ahrefs,absent,https://english.arizona.edu/declare,P1 all results off-topic,yes,,EMPHASIS,Rule 2 — specific entity (kept),
dendrochronologist,exact,https://www.arizona.edu/degree-search/majors/dendrochronology,https://www.arizona.edu/degree-search/majors/dendrochronology,ahrefs,absent,https://news.arizona.edu/employee-news/sharpening-tools-time-qa-dendrochronologist-charlotte-pearson,"P2 relevant buried, target absent",yes,,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
design arts & practice,exact,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-object-design-emphasis,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-object-design-emphasis,metadata,1,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-object-design-emphasis,P0 already #1,no (already #1),,EMPHASIS,Rule 2 — specific entity (kept),
design arts & practice emphasis,exact,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-visual-design-emphasis,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-visual-design-emphasis,metadata,3,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-object-design-emphasis,"P2 target present, buried",yes,yes,EMPHASIS,Rule 2 — specific entity (kept),
design arts and practice print,exact,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-print-emphasis,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-print-emphasis,metadata,absent,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-object-design-emphasis,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
design arts and practice screen,exact,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-screen-emphasis,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-screen-emphasis,metadata,absent,https://www.arizona.edu/degree-search/majors/design-arts-and-practice-object-design-emphasis,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
design for health innovation,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/design-for-health-innovation,metadata,12,https://health.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/design-for-health-innovation
digital curation,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/digital-curation,metadata,4,https://online.arizona.edu/programs/graduate-certificate/online-graduate-certificate-digital-curation-cert,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/digital-curation
dma degree,exact,https://www.arizona.edu/degree-search/majors/music-dma,https://www.arizona.edu/degree-search/majors/music-dma,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
doctor of history,exact,https://www.arizona.edu/degree-search/majors/history-dp,https://www.arizona.edu/degree-search/majors/history-dp,ahrefs,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
doctor of management,exact,https://www.arizona.edu/degree-search/majors/management-dp,https://www.arizona.edu/degree-search/majors/management-dp,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
doctoral degree in audiology,exact,https://www.arizona.edu/degree-search/majors/doctor-of-audiology,https://www.arizona.edu/degree-search/majors/doctor-of-audiology,ahrefs,2,https://www.arizona.edu/degree-search,"P2 target present, buried",yes,,PHD,Rule 2 — specific entity (kept),
doctoral program in management,exact,https://www.arizona.edu/degree-search/majors/management-dp,https://www.arizona.edu/degree-search/majors/management-dp,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
doctorate of management,exact,https://www.arizona.edu/degree-search/majors/management-dp,https://www.arizona.edu/degree-search/majors/management-dp,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
doctorate of musical arts,exact,https://www.arizona.edu/degree-search/majors/music-dma,https://www.arizona.edu/degree-search/majors/music-dma,ahrefs,1,https://www.arizona.edu/degree-search/majors/music-dma,P0 already #1,no (already #1),,PHD,Rule 2 — specific entity (kept),
dpt a,exact,https://www.arizona.edu/degree-search/majors/physical-therapy,https://www.arizona.edu/degree-search/majors/physical-therapy,ahrefs,9,https://health.arizona.edu/comcopimmunizationuploads,"P2 target present, buried",yes,,BASE,Rule 2 — REVIEW: specific term on base page,needs level entity; no matching level page in dataset — verify
early childhood,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/early-childhood,metadata,absent,https://extension.arizona.edu/topics/early-childhood,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/early-childhood
early childhood education,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/early-childhood-education,metadata,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/early-childhood-education
early childhood education bilingual,exact,https://www.arizona.edu/degree-search/majors/early-childhood-education-bilingual-emphasis,https://www.arizona.edu/degree-search/majors/early-childhood-education-bilingual-emphasis,metadata,9,https://education.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
early childhood education english as a second language,exact,https://www.arizona.edu/degree-search/majors/early-childhood-education-english-as-a-second-language-emphasis,https://www.arizona.edu/degree-search/majors/early-childhood-education-english-as-a-second-language-emphasis,metadata,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
east asian studies,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/east-asian-studies-ma,metadata,8,https://www.arizona.edu/degree-search/majors/east-asian-studies-east-asian-cultural-studies-emphasis,"P2 target present, buried",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/east-asian-studies-ma
east asian studies east asian cultural studies,exact,https://www.arizona.edu/degree-search/majors/east-asian-studies-east-asian-cultural-studies-emphasis,https://www.arizona.edu/degree-search/majors/east-asian-studies-east-asian-cultural-studies-emphasis,metadata,1,https://www.arizona.edu/degree-search/majors/east-asian-studies-east-asian-cultural-studies-emphasis,P0 already #1,no (already #1),,EMPHASIS,Rule 2 — specific entity (kept),
ece university of arizona,exact,https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-computer-engineering-track,https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-computer-engineering-track,ahrefs,absent,https://www.arizona.edu/admissions,"P2 relevant buried, target absent",yes,,TRACK,Rule 2 — specific entity (kept),
ecology and evolutionary biology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/ecology-and-evolutionary-biology-ba,metadata,absent,https://eeb.arizona.edu/undergraduate/majors-minors/bs-ecology-evolutionary-biology,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/ecology-and-evolutionary-biology-ba
ecology and evolutionary biology phd,exact,https://www.arizona.edu/degree-search/majors/ecology-and-evolutionary-biology-dp,https://www.arizona.edu/degree-search/majors/ecology-and-evolutionary-biology-dp,metadata,absent,https://eeb.arizona.edu/undergraduate/majors-minors/bs-ecology-evolutionary-biology,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
economic geology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/economic-geology,metadata,absent,https://lpeg.geo.arizona.edu/programs/accelerated-masters-program-economic-geology,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/economic-geology
economics,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/economics,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/economics
economics ms,exact,https://www.arizona.edu/degree-search/majors/economics-ms,https://www.arizona.edu/degree-search/majors/economics-ms,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
economics university of arizona,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/economics-ba,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/economics-ba
ecosystem genomics,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/ecosystem-genomics,metadata,absent,https://ecosystemgenomics.arizona.edu/egi,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/ecosystem-genomics
education policy,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/education-policy,metadata,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/education-policy
education requirements for aerospace engineer,exact,https://www.arizona.edu/degree-search/majors/aerospace-engineering-bsae,https://www.arizona.edu/degree-search/majors/aerospace-engineering-bsae,ahrefs,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,UG,Rule 2 — specific entity (kept),
education requirements for biomedical engineer,exact,https://www.arizona.edu/degree-search/majors/biomedical-engineering-bsbe,https://www.arizona.edu/degree-search/majors/biomedical-engineering-bsbe,ahrefs,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,UG,Rule 2 — specific entity (kept),
educational leadership,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/education-in-educational-leadership,metadata,10,https://education.arizona.edu/majors/educational-leadership-edd,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/education-in-educational-leadership
educational leadership & policy,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/educational-leadership-and-policy,metadata,4,https://education.arizona.edu/educational-leadership-policy,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/educational-leadership-and-policy
educational psychology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/educational-psychology-ma,metadata,absent,https://science.arizona.edu/,P1 all results off-topic,yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/educational-psychology-ma
educational psychology phd,exact,https://www.arizona.edu/degree-search/majors/educational-psychology-dp,https://www.arizona.edu/degree-search/majors/educational-psychology-dp,metadata,absent,https://science.arizona.edu/,P1 all results off-topic,yes,yes,PHD,Rule 2 — specific entity (kept),
educational research methodology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/educational-research-methodology,metadata,2,https://education.arizona.edu/majors/educational-research-methodology-graduate-certificate,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/educational-research-methodology
egypt in arizona,exact,https://www.arizona.edu/degree-search/majors/egyptian-archaeology,https://www.arizona.edu/degree-search/majors/egyptian-archaeology,ahrefs,absent,https://international-admissions.arizona.edu/application-requirements/egypt,"P2 relevant buried, target absent",yes,,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
electrical & computer engineering,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-ms,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-ms
electrical & computer engineering phd,exact,https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-dp,https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-dp,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
electrical and computer engineering university of arizona,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-computer-engineering-track,ahrefs,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,TRACK,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/electrical-and-computer-engineering-computer-engineering-track
elementary education esl,exact,https://www.arizona.edu/degree-search/majors/elementary-education-english-as-a-second-language-emphasis,https://www.arizona.edu/degree-search/majors/elementary-education-english-as-a-second-language-emphasis,metadata,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
emergency medical services,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/emergency-medical-services,metadata,absent,https://uapd.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/emergency-medical-services
emergency medical services graduate certificate,exact,https://www.arizona.edu/degree-search/majors/emergency-medical-services-gc,https://www.arizona.edu/degree-search/majors/emergency-medical-services-gc,metadata,absent,https://uapd.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
emerging technologies in society,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/emerging-technologies-in-society,metadata,2,https://online.arizona.edu/programs/undergraduate/online-bachelor-arts-emerging-technologies-society-ba,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/emerging-technologies-in-society
ems major,exact,https://www.arizona.edu/degree-search/majors/emergency-medical-services-bs,https://www.arizona.edu/degree-search/majors/emergency-medical-services-bs,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,UG,Rule 2 — specific entity (kept),
energy efficient building design,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/energy-efficient-building-design,metadata,1,https://www.arizona.edu/degree-search/majors/energy-efficient-building-design,P0 already #1,no (already #1),,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/energy-efficient-building-design
engineering,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/engineering,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/engineering
engineering management,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/engineering-management,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/engineering-management
engineering management graduate certificate,exact,https://www.arizona.edu/degree-search/majors/engineering-management-gc,https://www.arizona.edu/degree-search/majors/engineering-management-gc,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
engineering management masters,exact,https://www.arizona.edu/degree-search/majors/engineering-management-ms,https://www.arizona.edu/degree-search/majors/engineering-management-ms,ahrefs,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,GRAD,Rule 2 — specific entity (kept),
engineering optical,exact,https://www.arizona.edu/degree-search/majors/optical-sciences-engineering-optical-mechanics-track,https://www.arizona.edu/degree-search/majors/optical-sciences-engineering-optical-mechanics-track,ahrefs,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,TRACK,Rule 2 — specific entity (kept),
english,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/english,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/english
english degree,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/english-ba,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/english-ba
english phd,exact,https://www.arizona.edu/degree-search/majors/english-dp,https://www.arizona.edu/degree-search/majors/english-dp,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
enterprise information security,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/enterprise-information-security,metadata,absent,https://infosci.arizona.edu/news/new-name-college-of-information-science,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/enterprise-information-security
entomology and insect science,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/entomology-and-insect-science-ms,metadata,absent,https://science.arizona.edu/,"P2 relevant buried, target absent",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/entomology-and-insect-science-ms
entomology and insect science gidp,exact,https://www.arizona.edu/degree-search/majors/entomology-and-insect-science-dp,https://www.arizona.edu/degree-search/majors/entomology-and-insect-science-dp,metadata,absent,https://science.arizona.edu/,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
entrepreneurship,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/entrepreneurship,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/entrepreneurship
entrepreneurship bsba,exact,https://www.arizona.edu/degree-search/majors/entrepreneurship-bsba,https://www.arizona.edu/degree-search/majors/entrepreneurship-bsba,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,UG,Rule 2 — specific entity (kept),
entrepreneurship graduate program,exact,https://www.arizona.edu/degree-search/majors/entrepreneurship-ms,https://www.arizona.edu/degree-search/majors/entrepreneurship-ms,ahrefs,5,https://eller.arizona.edu/,"P2 target present, buried",yes,,GRAD,Rule 2 — specific entity (kept),
environmental and water resource economics,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/environmental-and-water-resource-economics,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/environmental-and-water-resource-economics
environmental economics & policy,exact,https://www.arizona.edu/degree-search/majors/agricultural-and-applied-economics-environmental-economics-and-policy-emphasis,https://www.arizona.edu/degree-search/majors/agricultural-and-applied-economics-environmental-economics-and-policy-emphasis,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
environmental engineering,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/environmental-engineering,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/environmental-engineering
environmental engineering ms,exact,https://www.arizona.edu/degree-search/majors/environmental-engineering-ms,https://www.arizona.edu/degree-search/majors/environmental-engineering-ms,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
environmental engineering phd,exact,https://www.arizona.edu/degree-search/majors/environmental-engineering-dp,https://www.arizona.edu/degree-search/majors/environmental-engineering-dp,ahrefs,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,PHD,Rule 2 — specific entity (kept),
environmental geography and society,exact,https://www.arizona.edu/degree-search/majors/geography-water-environment-and-society-emphasis,https://www.arizona.edu/degree-search/majors/geography-water-environment-and-society-emphasis,metadata,15,https://geography.arizona.edu/course/geog-462-environmental-law-geography-and-society,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
environmental health sciences,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/environmental-health-sciences-ms,metadata,absent,,P1 no results,yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/environmental-health-sciences-ms
environmental health sciences phd,exact,https://www.arizona.edu/degree-search/majors/environmental-health-sciences-dp,https://www.arizona.edu/degree-search/majors/environmental-health-sciences-dp,metadata,absent,,P1 no results,yes,yes,PHD,Rule 2 — specific entity (kept),
environmental leadership,exact,https://www.arizona.edu/degree-search/majors/environmental-science-leadership-sustainability-and-communication-emphasis,https://www.arizona.edu/degree-search/majors/environmental-science-leadership-sustainability-and-communication-emphasis,metadata,12,https://cales.arizona.edu/about/leadership,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
environmental science,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/environmental-science-ms,metadata,absent,https://science.arizona.edu/,"P2 relevant buried, target absent",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/environmental-science-ms
environmental science physical and chemical dynamics,exact,https://www.arizona.edu/degree-search/majors/environmental-science-physical-and-chemical-dynamics-emphasis,https://www.arizona.edu/degree-search/majors/environmental-science-physical-and-chemical-dynamics-emphasis,metadata,3,https://engineering.arizona.edu/index,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
"environmental soil, water and air science",exact,https://www.arizona.edu/degree-search/majors/environmental-science-soil-air-and-water-emphasis,https://www.arizona.edu/degree-search/majors/environmental-science-soil-air-and-water-emphasis,metadata,4,https://science.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
epidemiology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/epidemiology-ms,metadata,absent,https://publichealth.arizona.edu/,"P2 relevant buried, target absent",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/epidemiology-ms
epidemiology phd,exact,https://www.arizona.edu/degree-search/majors/epidemiology-dp,https://www.arizona.edu/degree-search/majors/epidemiology-dp,metadata,absent,https://publichealth.arizona.edu/,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
equine science degree,exact,https://www.arizona.edu/degree-search/majors/animal-sciences-equine-emphasis,https://www.arizona.edu/degree-search/majors/animal-sciences-equine-emphasis,ahrefs,7,https://www.arizona.edu/degree-search,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
equine science degree online,exact,https://www.arizona.edu/degree-search/majors/animal-sciences-equine-emphasis,https://www.arizona.edu/degree-search/majors/animal-sciences-equine-emphasis,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
euphonium performance,exact,https://www.arizona.edu/degree-search/majors/performance-euphonium-emphasis,https://www.arizona.edu/degree-search/majors/performance-euphonium-emphasis,metadata,1,https://www.arizona.edu/degree-search/majors/performance-euphonium-emphasis,P0 already #1,no (already #1),,EMPHASIS,Rule 2 — specific entity (kept),
evolutionary biology degree,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/ecology-and-evolutionary-biology-bs,ahrefs,absent,https://www.arizona.edu/degree-search,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/ecology-and-evolutionary-biology-bs
family nurse practitioner,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/family-nurse-practitioner,metadata,5,https://nursing.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/family-nurse-practitioner
family studies and human development,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/family-studies-and-human-development,metadata,absent,https://norton.arizona.edu/course/hdfs/197a,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/family-studies-and-human-development
fashion degrees,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-fashion-studies-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-fashion-studies-emphasis,ahrefs,absent,https://english.arizona.edu/declare,P1 all results off-topic,yes,,EMPHASIS,Rule 2 — specific entity (kept),
fashion science,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/fashion-industry-s-science-and-technology,ahrefs,6,https://science.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/fashion-industry-s-science-and-technology
